threshold,f1,precision,recall,accuracy,tp,fp,tn,fn
0.115,0.8805460750853242,0.7865853658536586,1.0,0.8643410852713178,258,70,188,0
0.116,0.879045996592845,0.78419452887538,1.0,0.8624031007751938,258,71,187,0
0.117,0.879045996592845,0.78419452887538,1.0,0.8624031007751938,258,71,187,0
0.118,0.8760611205432937,0.7794561933534743,1.0,0.8585271317829457,258,73,185,0
0.119,0.8730964467005076,0.7747747747747747,1.0,0.8546511627906976,258,75,183,0
0.12,0.8716216216216216,0.7724550898203593,1.0,0.8527131782945736,258,76,182,0
0.121,0.8701517706576728,0.7701492537313432,1.0,0.8507751937984496,258,77,181,0
0.122,0.8686868686868687,0.7678571428571429,1.0,0.8488372093023255,258,78,180,0
0.123,0.8672268907563025,0.7655786350148368,1.0,0.8468992248062015,258,79,179,0
0.124,0.8657718120805369,0.7633136094674556,1.0,0.8449612403100775,258,80,178,0
0.125,0.862876254180602,0.7588235294117647,1.0,0.8410852713178295,258,82,176,0
0.126,0.86,0.7543859649122807,1.0,0.8372093023255814,258,84,174,0
0.127,0.8585690515806987,0.7521865889212828,1.0,0.8352713178294574,258,85,173,0
0.128,0.8571428571428571,0.75,1.0,0.8333333333333334,258,86,172,0
0.129,0.8514851485148515,0.7413793103448276,1.0,0.8255813953488372,258,90,168,0
0.13,0.8486842105263157,0.7371428571428571,1.0,0.8217054263565892,258,92,166,0
0.131,0.8459016393442622,0.7329545454545454,1.0,0.8178294573643411,258,94,164,0
0.132,0.8431372549019608,0.7288135593220338,1.0,0.813953488372093,258,96,162,0
0.133,0.8403908794788273,0.7247191011235955,1.0,0.810077519379845,258,98,160,0
0.134,0.8376623376623377,0.7206703910614525,1.0,0.8062015503875969,258,100,158,0
0.135,0.8336025848142165,0.7146814404432132,1.0,0.8003875968992248,258,103,155,0
0.136,0.832258064516129,0.712707182320442,1.0,0.7984496124031008,258,104,154,0
0.137,0.832258064516129,0.712707182320442,1.0,0.7984496124031008,258,104,154,0
0.138,0.8282504012841091,0.7068493150684931,1.0,0.7926356589147286,258,107,151,0
0.139,0.8256000000000001,0.7029972752043597,1.0,0.7887596899224806,258,109,149,0
0.14,0.8242811501597443,0.7010869565217391,1.0,0.7868217054263565,258,110,148,0
0.141,0.821656050955414,0.6972972972972973,1.0,0.7829457364341085,258,112,146,0
0.142,0.821656050955414,0.6972972972972973,1.0,0.7829457364341085,258,112,146,0
0.143,0.8190476190476191,0.6935483870967742,1.0,0.7790697674418605,258,114,144,0
0.144,0.8177496038034865,0.6916890080428955,1.0,0.7771317829457365,258,115,143,0
0.145,0.8164556962025316,0.6898395721925134,1.0,0.7751937984496124,258,116,142,0
0.146,0.8164556962025316,0.6898395721925134,1.0,0.7751937984496124,258,116,142,0
0.147,0.8138801261829653,0.6861702127659575,1.0,0.7713178294573644,258,118,140,0
0.148,0.8087774294670846,0.6789473684210526,1.0,0.7635658914728682,258,122,136,0
0.149,0.8087774294670846,0.6789473684210526,1.0,0.7635658914728682,258,122,136,0
0.15,0.8087774294670846,0.6789473684210526,1.0,0.7635658914728682,258,122,136,0
0.151,0.80625,0.675392670157068,1.0,0.7596899224806202,258,124,134,0
0.152,0.80248833592535,0.6701298701298701,1.0,0.7538759689922481,258,127,131,0
0.153,0.80248833592535,0.6701298701298701,1.0,0.7538759689922481,258,127,131,0
0.154,0.8012422360248447,0.6683937823834197,1.0,0.751937984496124,258,128,130,0
0.155,0.8012422360248447,0.6683937823834197,1.0,0.751937984496124,258,128,130,0
0.156,0.8,0.6666666666666666,1.0,0.75,258,129,129,0
0.157,0.7987616099071208,0.6649484536082474,1.0,0.748062015503876,258,130,128,0
